measure,quantile,time,sex,age,ethnic,value
qx,50%,2017-19,Male,18 years,Total,5.90E-04
qx,97.50%,2017-19,Male,14 years,Total,3.10E-04
px,97.50%,2017-19,Male,37 years,Pacific,0.99843
mx,97.50%,2017-19,Female,76 years,European or Other,0.02077
qx,50%,2017-19,Female,80 years,Pacific,0.05857
Lx,2.50%,2017-19,Male,58 years,Maori,84459
Lx,2.50%,2017-19,Male,56 years,Total,93016
ex,97.50%,2017-19,Female,68 years,Total,19.12
Lx,97.50%,2017-19,Female,82 years,Pacific,50341
ex,50%,2017-19,Male,22 years,Maori,52.46
ex,50%,2017-19,Female,10 years,nonMaori,74.77
ex,50%,2017-19,Female,96 years,Total,3
mx,97.50%,2017-19,Female,79 years,Asian,0.0243
dx,97.50%,2017-19,Female,25 years,Total,43
qx,97.50%,2017-19,Female,71 years,nonMaori,0.01134
ex,2.50%,2017-19,Female,16 years,Asian,71.91
Lx,2.50%,2017-19,Female,60 years,nonMaori,95008
mx,2.50%,2017-19,Male,86 years,Asian,0.06316
dx,2.50%,2017-19,Female,17 years,Asian,9
px,2.50%,2017-19,Male,57 years,Total,0.99437
ex,97.50%,2017-19,Female,68 years,Pacific,16.66
dx,2.50%,2017-19,Female,49 years,Pacific,257
px,97.50%,2017-19,Male,74 years,European or Other,0.97782
qx,2.50%,2017-19,Female,34 years,nonMaori,3.70E-04
mx,97.50%,2017-19,Female,0 years,Total,0.00459
dx,2.50%,2017-19,Male,61 years,Asian,351
Lx,2.50%,2017-19,Male,49 years,European or Other,96244
qx,97.50%,2017-19,Male,5 years,Total,1.40E-04
ex,2.50%,2017-19,Female,36 years,European or Other,49.14
ex,97.50%,2017-19,Female,96 years,European or Other,3.05
Lx,50%,2017-19,Male,60 years,Maori,82593
px,97.50%,2017-19,Male,48 years,Asian,0.99919
mx,97.50%,2017-19,Male,9 years,Maori,2.70E-04
px,97.50%,2017-19,Female,25 years,nonMaori,0.99974
ex,2.50%,2017-19,Male,44 years,Asian,41.68
Lx,2.50%,2017-19,Male,89 years,Total,24965
mx,50%,2017-19,Male,75 years,Total,0.02931
mx,97.50%,2017-19,Male,41 years,European or Other,0.00127
qx,97.50%,2017-19,Male,99 years,Total,0.35811
lx,50%,2017-19,Female,48 years,Maori,95353
dx,2.50%,2017-19,Male,50 years,European or Other,203
mx,2.50%,2017-19,Male,57 years,Total,0.00502
lx,50%,2017-19,Male,55 years,European or Other,94888
ex,2.50%,2017-19,Male,81 years,Pacific,6.59
px,50%,2017-19,Female,69 years,Asian,0.99491
lx,2.50%,2017-19,Female,16 years,Asian,99445
Lx,50%,2017-19,Female,84 years,Maori,35080
lx,97.50%,2017-19,Female,83 years,Maori,41144
px,2.50%,2017-19,Female,74 years,Pacific,0.9664
Lx,97.50%,2017-19,Male,41 years,European or Other,97688
qx,2.50%,2017-19,Male,24 years,Maori,0.00124
Lx,50%,2017-19,Male,62 years,Total,89648
dx,50%,2017-19,Male,21 years,nonMaori,63
mx,50%,2017-19,Female,53 years,European or Other,0.00205
px,97.50%,2017-19,Female,73 years,Total,0.98459
lx,2.50%,2017-19,Female,20 years,Pacific,98907
qx,97.50%,2017-19,Female,5 years,nonMaori,1.10E-04
lx,50%,2017-19,Male,9 years,nonMaori,99430
Lx,97.50%,2017-19,Female,98 years,nonMaori,5556
qx,50%,2017-19,Male,71 years,Maori,0.03554
lx,2.50%,2017-19,Male,2 years,Asian,99537
Lx,97.50%,2017-19,Male,21 years,Pacific,98862
Lx,97.50%,2017-19,Male,43 years,Asian,98618
Lx,97.50%,2017-19,Male,11 years,Pacific,99270
dx,2.50%,2017-19,Male,94 years,nonMaori,2369
ex,2.50%,2017-19,Female,83 years,nonMaori,8.06
dx,97.50%,2017-19,Male,89 years,Asian,5456
px,97.50%,2017-19,Female,96 years,European or Other,0.76471
px,50%,2017-19,Female,69 years,European or Other,0.99122
lx,97.50%,2017-19,Female,5 years,Asian,99735
lx,2.50%,2017-19,Male,68 years,Total,84462
ex,2.50%,2017-19,Male,18 years,nonMaori,63.38
dx,50%,2017-19,Male,55 years,Asian,240
ex,97.50%,2017-19,Male,34 years,Pacific,43.37
mx,50%,2017-19,Female,35 years,Total,5.50E-04
lx,50%,2017-19,Male,80 years,Total,62018
Lx,2.50%,2017-19,Male,12 years,Total,99281
Lx,2.50%,2017-19,Male,18 years,Asian,99232
ex,2.50%,2017-19,Female,52 years,Pacific,29.04
mx,97.50%,2017-19,Female,27 years,nonMaori,3.40E-04
dx,2.50%,2017-19,Female,24 years,Total,34
qx,97.50%,2017-19,Female,89 years,nonMaori,0.12218
px,97.50%,2017-19,Female,57 years,Total,0.9967
px,50%,2017-19,Male,5 years,Maori,0.99982
dx,50%,2017-19,Female,21 years,Asian,15
dx,97.50%,2017-19,Female,40 years,Asian,42
mx,2.50%,2017-19,Female,34 years,European or Other,4.10E-04
dx,97.50%,2017-19,Female,89 years,European or Other,5057
lx,50%,2017-19,Male,25 years,European or Other,98963
lx,97.50%,2017-19,Female,87 years,Asian,65633
ex,97.50%,2017-19,Female,47 years,Total,37.95
dx,97.50%,2017-19,Female,81 years,Total,3002
lx,2.50%,2017-19,Male,56 years,European or Other,94375
ex,2.50%,2017-19,Male,72 years,Maori,11.14
ex,2.50%,2017-19,Male,74 years,Asian,14.76
qx,97.50%,2017-19,Female,98 years,Pacific,0.36213
mx,97.50%,2017-19,Male,85 years,Total,0.1024
dx,50%,2017-19,Female,7 years,Maori,14
ex,50%,2017-19,Male,6 years,nonMaori,75.33
dx,97.50%,2017-19,Male,32 years,Total,97
mx,2.50%,2017-19,Male,42 years,European or Other,0.00108
lx,50%,2017-19,Female,18 years,nonMaori,99414
px,50%,2017-19,Male,92 years,Pacific,0.7918
ex,97.50%,2017-19,Female,19 years,Asian,69.72
qx,97.50%,2017-19,Male,75 years,Maori,0.05369
Lx,97.50%,2017-19,Male,6 years,European or Other,99625
qx,50%,2017-19,Male,57 years,Asian,0.00305
dx,50%,2017-19,Female,16 years,nonMaori,19
lx,50%,2017-19,Male,30 years,Total,98264
Lx,2.50%,2017-19,Female,82 years,Asian,77367
mx,50%,2017-19,Female,57 years,Total,0.00353
Lx,2.50%,2017-19,Female,14 years,Pacific,99058
Lx,2.50%,2017-19,Male,3 years,Pacific,99135
Lx,97.50%,2017-19,Female,78 years,European or Other,78777
ex,97.50%,2017-19,Female,61 years,Pacific,22.14
qx,2.50%,2017-19,Female,50 years,Asian,7.20E-04
Lx,97.50%,2017-19,Female,93 years,Total,19666
dx,50%,2017-19,Female,97 years,European or Other,2317
Lx,50%,2017-19,Female,88 years,Asian,57086
qx,50%,2017-19,Male,28 years,Asian,3.00E-04
qx,50%,2017-19,Male,90 years,European or Other,0.16423
mx,2.50%,2017-19,Female,50 years,Pacific,0.00287
mx,50%,2017-19,Female,16 years,European or Other,1.70E-04
dx,2.50%,2017-19,Male,98 years,Maori,297
dx,50%,2017-19,Male,47 years,Total,209
ex,2.50%,2017-19,Male,105 years,Total,1.26
lx,50%,2017-19,Male,43 years,Total,96893
lx,2.50%,2017-19,Female,63 years,European or Other,94147
dx,2.50%,2017-19,Male,9 years,Asian,10
dx,50%,2017-19,Female,44 years,Maori,219
ex,2.50%,2017-19,Female,88 years,nonMaori,5.45
Lx,50%,2017-19,Female,19 years,European or Other,99506
lx,2.50%,2017-19,Male,59 years,nonMaori,93094
lx,2.50%,2017-19,Female,32 years,Maori,97869
dx,97.50%,2017-19,Male,90 years,Asian,5509
dx,97.50%,2017-19,Female,49 years,Maori,411
dx,97.50%,2017-19,Female,78 years,Total,2210
ex,2.50%,2017-19,Male,38 years,Total,43.38
mx,2.50%,2017-19,Male,66 years,nonMaori,0.00967
mx,2.50%,2017-19,Female,61 years,Total,0.00447
ex,2.50%,2017-19,Male,15 years,Asian,70.13
ex,97.50%,2017-19,Male,15 years,Total,65.61
mx,97.50%,2017-19,Female,94 years,European or Other,0.23605
qx,50%,2017-19,Male,13 years,Maori,3.80E-04
lx,2.50%,2017-19,Female,42 years,Maori,96514
px,97.50%,2017-19,Female,22 years,Total,0.99965
ex,50%,2017-19,Male,20 years,nonMaori,61.53
px,97.50%,2017-19,Female,76 years,nonMaori,0.98125
dx,2.50%,2017-19,Male,25 years,nonMaori,56
px,97.50%,2017-19,Female,59 years,Total,0.99608
qx,97.50%,2017-19,Female,35 years,Maori,0.00138
px,50%,2017-19,Female,75 years,Total,0.97967
ex,97.50%,2017-19,Female,87 years,Total,6
px,50%,2017-19,Female,86 years,Asian,0.94105
qx,50%,2017-19,Male,96 years,Maori,0.28306
mx,97.50%,2017-19,Female,11 years,nonMaori,9.00E-05
lx,2.50%,2017-19,Male,58 years,European or Other,93587
mx,97.50%,2017-19,Male,11 years,Pacific,3.20E-04
ex,2.50%,2017-19,Female,66 years,nonMaori,20.99
Lx,50%,2017-19,Female,47 years,nonMaori,97985
mx,97.50%,2017-19,Male,25 years,Asian,4.00E-04
qx,97.50%,2017-19,Female,57 years,Pacific,0.007
mx,50%,2017-19,Male,51 years,Total,0.00321
lx,97.50%,2017-19,Female,15 years,Maori,99362
lx,50%,2017-19,Male,81 years,European or Other,61726
dx,50%,2017-19,Male,18 years,nonMaori,47
lx,2.50%,2017-19,Female,13 years,Maori,99224
mx,50%,2017-19,Female,73 years,Asian,0.00893
qx,2.50%,2017-19,Male,70 years,European or Other,0.01355
ex,97.50%,2017-19,Female,89 years,European or Other,5.15
Lx,97.50%,2017-19,Male,12 years,Maori,99230
lx,2.50%,2017-19,Male,35 years,Asian,98709
dx,50%,2017-19,Male,30 years,Pacific,117
px,50%,2017-19,Female,7 years,Total,0.99992
px,97.50%,2017-19,Male,16 years,nonMaori,0.99972
Lx,2.50%,2017-19,Male,83 years,Pacific,30886
dx,97.50%,2017-19,Female,64 years,European or Other,546
ex,97.50%,2017-19,Female,79 years,Asian,12.87
qx,97.50%,2017-19,Female,3 years,Asian,1.60E-04
mx,50%,2017-19,Male,21 years,Pacific,7.20E-04
qx,97.50%,2017-19,Female,15 years,Asian,1.70E-04
Lx,2.50%,2017-19,Male,22 years,nonMaori,98927
px,50%,2017-19,Female,30 years,Maori,0.99904
ex,2.50%,2017-19,Male,81 years,Total,7.95
qx,97.50%,2017-19,Male,65 years,Total,0.01089
Lx,2.50%,2017-19,Male,67 years,European or Other,87243
dx,50%,2017-19,Female,31 years,European or Other,38
dx,50%,2017-19,Female,69 years,Pacific,1436
qx,2.50%,2017-19,Female,96 years,Asian,0.15987
px,97.50%,2017-19,Female,88 years,Total,0.89888
dx,50%,2017-19,Female,98 years,Maori,838
mx,50%,2017-19,Male,87 years,Maori,0.15167
lx,97.50%,2017-19,Male,66 years,Asian,93153
dx,50%,2017-19,Male,60 years,Total,640
lx,2.50%,2017-19,Male,40 years,Asian,98498
dx,97.50%,2017-19,Male,28 years,nonMaori,66
ex,97.50%,2017-19,Male,65 years,Maori,16.03
mx,50%,2017-19,Male,2 years,Total,2.50E-04
qx,50%,2017-19,Male,42 years,Maori,0.00302
dx,2.50%,2017-19,Male,74 years,Asian,1136
px,2.50%,2017-19,Female,8 years,Maori,0.99981
Lx,50%,2017-19,Male,40 years,Total,97230
Lx,50%,2017-19,Female,27 years,Total,98976
ex,97.50%,2017-19,Female,30 years,Pacific,50.45
mx,2.50%,2017-19,Female,29 years,nonMaori,2.60E-04
px,97.50%,2017-19,Female,16 years,Total,0.99978
qx,50%,2017-19,Male,53 years,Pacific,0.00605
lx,50%,2017-19,Male,45 years,Asian,98358
lx,50%,2017-19,Male,64 years,Total,88493
px,97.50%,2017-19,Female,7 years,European or Other,0.99996
mx,2.50%,2017-19,Male,6 years,European or Other,7.00E-05
lx,2.50%,2017-19,Female,84 years,European or Other,62683
dx,2.50%,2017-19,Male,72 years,Pacific,2086
dx,50%,2017-19,Male,3 years,Asian,15
mx,97.50%,2017-19,Female,22 years,nonMaori,3.70E-04
dx,97.50%,2017-19,Male,92 years,Pacific,2159
qx,97.50%,2017-19,Female,49 years,nonMaori,0.00157
qx,2.50%,2017-19,Female,80 years,Asian,0.01745
px,97.50%,2017-19,Male,69 years,European or Other,0.98748
px,2.50%,2017-19,Male,46 years,Total,0.99786
dx,97.50%,2017-19,Male,78 years,Total,2792
lx,50%,2017-19,Male,71 years,nonMaori,83429
lx,2.50%,2017-19,Female,61 years,European or Other,94955
px,2.50%,2017-19,Male,60 years,Asian,0.99514
px,50%,2017-19,Male,7 years,European or Other,0.99992
px,50%,2017-19,Female,22 years,European or Other,0.99967
Lx,2.50%,2017-19,Male,77 years,nonMaori,71108
qx,2.50%,2017-19,Male,16 years,European or Other,2.70E-04
lx,2.50%,2017-19,Male,18 years,Total,99092
mx,2.50%,2017-19,Female,104 years,Total,0.45566
qx,97.50%,2017-19,Male,88 years,Total,0.13778
lx,50%,2017-19,Male,76 years,European or Other,75094
qx,97.50%,2017-19,Male,100 years and over,nonMaori,1
dx,97.50%,2017-19,Female,82 years,Pacific,4210
mx,50%,2017-19,Female,4 years,Maori,1.50E-04
px,2.50%,2017-19,Female,24 years,Total,0.99956
dx,2.50%,2017-19,Male,50 years,Asian,110
ex,97.50%,2017-19,Male,75 years,Asian,14.86
lx,2.50%,2017-19,Female,27 years,Total,98931
Lx,50%,2017-19,Female,76 years,Total,79347
lx,50%,2017-19,Female,69 years,Total,88857
qx,50%,2017-19,Female,1 years,Pacific,1.70E-04
ex,2.50%,2017-19,Female,39 years,nonMaori,46.16
px,97.50%,2017-19,Male,62 years,nonMaori,0.9934
lx,50%,2017-19,Female,92 years,Maori,12984
dx,50%,2017-19,Male,63 years,Asian,490
ex,50%,2017-19,Male,12 years,Asian,73.5
dx,97.50%,2017-19,Male,93 years,Asian,5001
qx,2.50%,2017-19,Female,45 years,European or Other,8.60E-04
qx,2.50%,2017-19,Female,35 years,nonMaori,4.00E-04
Lx,2.50%,2017-19,Male,103 years,Total,202
mx,50%,2017-19,Female,99 years,Asian,0.29488
Lx,50%,2017-19,Female,66 years,European or Other,92475
Lx,97.50%,2017-19,Female,16 years,European or Other,99623
dx,50%,2017-19,Female,36 years,Total,57
px,2.50%,2017-19,Female,6 years,Pacific,0.99979
qx,50%,2017-19,Male,21 years,European or Other,6.50E-04
qx,2.50%,2017-19,Female,16 years,Maori,3.50E-04
lx,97.50%,2017-19,Male,2 years,nonMaori,99572
ex,97.50%,2017-19,Male,22 years,Pacific,54.75
mx,50%,2017-19,Male,70 years,Pacific,0.03053
mx,50%,2017-19,Male,3 years,nonMaori,1.80E-04
px,2.50%,2017-19,Male,28 years,European or Other,0.99921
Lx,2.50%,2017-19,Female,13 years,Pacific,99080
Lx,50%,2017-19,Male,96 years,European or Other,5105
ex,97.50%,2017-19,Female,86 years,European or Other,6.52
dx,97.50%,2017-19,Female,73 years,European or Other,1336
dx,50%,2017-19,Female,43 years,Maori,206
qx,2.50%,2017-19,Female,30 years,Total,3.70E-04
Lx,2.50%,2017-19,Male,92 years,Total,14037
qx,2.50%,2017-19,Female,10 years,European or Other,4.00E-05
lx,2.50%,2017-19,Male,17 years,Asian,99271
Lx,2.50%,2017-19,Male,72 years,Asian,86822
qx,2.50%,2017-19,Male,91 years,Asian,0.10993
qx,97.50%,2017-19,Male,72 years,nonMaori,0.02029
Lx,2.50%,2017-19,Female,69 years,Pacific,79884
qx,97.50%,2017-19,Female,84 years,Pacific,0.10303
dx,50%,2017-19,Male,54 years,Total,398
mx,2.50%,2017-19,Male,37 years,Total,9.90E-04
ex,50%,2017-19,Female,72 years,Pacific,13.38
mx,50%,2017-19,Male,40 years,European or Other,0.00111
lx,97.50%,2017-19,Male,81 years,Pacific,43317
ex,50%,2017-19,Male,17 years,Total,63.57
ex,2.50%,2017-19,Male,7 years,Asian,78.04
lx,50%,2017-19,Female,52 years,Maori,93801
ex,50%,2017-19,Male,88 years,European or Other,4.75
Lx,50%,2017-19,Female,94 years,nonMaori,16428
dx,2.50%,2017-19,Female,86 years,Total,4078
px,97.50%,2017-19,Male,88 years,Total,0.87179
ex,97.50%,2017-19,Male,54 years,Total,28.73
dx,97.50%,2017-19,Female,31 years,Pacific,89
mx,97.50%,2017-19,Female,25 years,Pacific,6.10E-04
qx,97.50%,2017-19,Male,90 years,Pacific,0.21155
ex,50%,2017-19,Female,48 years,Asian,40.73
ex,97.50%,2017-19,Male,60 years,Asian,27.48
px,97.50%,2017-19,Female,46 years,Total,0.99876
ex,97.50%,2017-19,Female,61 years,Total,25.13
Lx,97.50%,2017-19,Female,82 years,Asian,79840
px,2.50%,2017-19,Female,13 years,Asian,0.99984
ex,2.50%,2017-19,Male,53 years,Total,29.46
Lx,97.50%,2017-19,Male,74 years,Asian,85955
mx,2.50%,2017-19,Male,77 years,Maori,0.05287
dx,50%,2017-19,Male,37 years,Total,106
Lx,50%,2017-19,Female,75 years,European or Other,83636
px,2.50%,2017-19,Male,37 years,nonMaori,0.99901
lx,97.50%,2017-19,Female,48 years,Total,97581
ex,2.50%,2017-19,Female,80 years,Asian,11.33
Lx,97.50%,2017-19,Male,44 years,Maori,94304
qx,50%,2017-19,Female,74 years,Pacific,0.0291
ex,2.50%,2017-19,Male,76 years,European or Other,11.11
dx,97.50%,2017-19,Male,85 years,European or Other,4530
ex,2.50%,2017-19,Female,56 years,Asian,32.64
qx,50%,2017-19,Female,7 years,Total,8.00E-05
px,2.50%,2017-19,Male,44 years,Total,0.99815
dx,97.50%,2017-19,Male,36 years,Pacific,214
px,50%,2017-19,Male,10 years,Asian,0.99986
qx,50%,2017-19,Male,34 years,Maori,0.00204
Lx,2.50%,2017-19,Male,10 years,Total,99310
Lx,50%,2017-19,Female,100 years and over,nonMaori,7232
Lx,97.50%,2017-19,Male,97 years,Asian,12708
qx,97.50%,2017-19,Female,73 years,nonMaori,0.01545
Lx,97.50%,2017-19,Male,98 years,Pacific,2168
Lx,50%,2017-19,Female,20 years,Pacific,99056
lx,2.50%,2017-19,Female,92 years,nonMaori,26466
mx,50%,2017-19,Female,34 years,Pacific,9.40E-04
dx,50%,2017-19,Male,51 years,European or Other,250
mx,2.50%,2017-19,Male,98 years,Total,0.33913
dx,50%,2017-19,Female,97 years,Pacific,1209
mx,50%,2017-19,Male,4 years,Total,1.40E-04
lx,97.50%,2017-19,Female,80 years,nonMaori,75230
lx,50%,2017-19,Male,38 years,European or Other,97938
dx,97.50%,2017-19,Male,95 years,European or Other,2185
dx,2.50%,2017-19,Female,98 years,Maori,672
lx,50%,2017-19,Female,87 years,Maori,27057
lx,2.50%,2017-19,Female,83 years,European or Other,66081
ex,2.50%,2017-19,Male,54 years,nonMaori,29.09
px,2.50%,2017-19,Female,32 years,Total,0.99947
mx,2.50%,2017-19,Female,10 years,Total,7.00E-05
ex,50%,2017-19,Male,56 years,Maori,22.2
mx,2.50%,2017-19,Male,44 years,Maori,0.00302
lx,97.50%,2017-19,Male,82 years,Maori,35231
mx,97.50%,2017-19,Male,79 years,Total,0.0479
mx,2.50%,2017-19,Male,45 years,Maori,0.0034
ex,97.50%,2017-19,Male,56 years,Maori,22.47
Lx,2.50%,2017-19,Male,27 years,Asian,98955
ex,97.50%,2017-19,Female,71 years,Pacific,14.47
Lx,2.50%,2017-19,Female,21 years,Asian,99364
lx,50%,2017-19,Female,17 years,European or Other,99566
px,2.50%,2017-19,Female,25 years,European or Other,0.99962
qx,97.50%,2017-19,Female,8 years,Total,9.00E-05
Lx,2.50%,2017-19,Male,68 years,Maori,69068
mx,50%,2017-19,Female,83 years,European or Other,0.05197
Lx,2.50%,2017-19,Female,26 years,Pacific,98631
px,2.50%,2017-19,Female,25 years,Pacific,0.99939
qx,2.50%,2017-19,Female,42 years,nonMaori,6.60E-04
qx,97.50%,2017-19,Male,76 years,Total,0.03166
qx,50%,2017-19,Male,34 years,Total,9.70E-04
qx,50%,2017-19,Male,5 years,nonMaori,1.20E-04
px,97.50%,2017-19,Male,76 years,nonMaori,0.97219
mx,2.50%,2017-19,Female,35 years,nonMaori,4.00E-04
px,97.50%,2017-19,Male,95 years,European or Other,0.75465
px,2.50%,2017-19,Female,52 years,nonMaori,0.99784
ex,97.50%,2017-19,Male,85 years,European or Other,6.04
qx,2.50%,2017-19,Male,86 years,Asian,0.06123
px,2.50%,2017-19,Female,48 years,Pacific,0.99628
mx,97.50%,2017-19,Male,62 years,Total,0.00852
ex,2.50%,2017-19,Female,12 years,Maori,65.27
mx,50%,2017-19,Male,67 years,Maori,0.02566
qx,97.50%,2017-19,Male,93 years,Pacific,0.27599
mx,50%,2017-19,Female,25 years,Maori,7.80E-04
dx,50%,2017-19,Female,56 years,Asian,144
qx,2.50%,2017-19,Female,53 years,Pacific,0.0036
qx,50%,2017-19,Male,90 years,nonMaori,0.16454
qx,97.50%,2017-19,Male,47 years,Asian,0.00118
px,97.50%,2017-19,Male,94 years,nonMaori,0.77383
mx,2.50%,2017-19,Female,42 years,Maori,0.00164
mx,2.50%,2017-19,Male,15 years,nonMaori,2.20E-04
dx,2.50%,2017-19,Female,87 years,Pacific,3102
dx,2.50%,2017-19,Male,62 years,Maori,1253
qx,97.50%,2017-19,Female,76 years,Maori,0.05124
mx,50%,2017-19,Female,41 years,Asian,3.50E-04
lx,50%,2017-19,Male,20 years,Total,99028
Lx,2.50%,2017-19,Male,71 years,European or Other,82722
Lx,2.50%,2017-19,Female,53 years,Pacific,93641
mx,2.50%,2017-19,Female,56 years,Pacific,0.00426
lx,50%,2017-19,Male,82 years,Maori,34028
lx,97.50%,2017-19,Female,50 years,nonMaori,97754
px,50%,2017-19,Male,97 years,Pacific,0.70129
mx,50%,2017-19,Male,90 years,nonMaori,0.17929
qx,2.50%,2017-19,Female,66 years,Asian,0.00282
dx,50%,2017-19,Male,38 years,nonMaori,92
mx,50%,2017-19,Male,23 years,Asian,2.90E-04
dx,50%,2017-19,Male,30 years,Total,80
dx,2.50%,2017-19,Male,44 years,European or Other,123
ex,2.50%,2017-19,Female,91 years,Maori,4.01
mx,50%,2017-19,Male,45 years,Pacific,0.00309
lx,2.50%,2017-19,Female,50 years,nonMaori,97558
Lx,97.50%,2017-19,Male,16 years,Pacific,99131
ex,2.50%,2017-19,Male,87 years,nonMaori,5.08
Lx,50%,2017-19,Male,67 years,European or Other,87477
ex,97.50%,2017-19,Female,48 years,nonMaori,37.65
Lx,2.50%,2017-19,Female,87 years,Total,45750
px,50%,2017-19,Male,43 years,European or Other,0.99869
dx,50%,2017-19,Male,56 years,Maori,912
px,2.50%,2017-19,Male,5 years,Maori,0.99975
Lx,50%,2017-19,Female,95 years,nonMaori,12939
qx,97.50%,2017-19,Male,102 years,Total,0.44206
Lx,50%,2017-19,Male,22 years,Pacific,98616
qx,97.50%,2017-19,Male,30 years,nonMaori,7.00E-04
Lx,2.50%,2017-19,Male,63 years,Pacific,82406
qx,2.50%,2017-19,Female,36 years,nonMaori,4.30E-04
ex,50%,2017-19,Male,56 years,nonMaori,27.37
ex,2.50%,2017-19,Male,5 years,Maori,68.66
lx,97.50%,2017-19,Female,67 years,Asian,95968
qx,50%,2017-19,Female,32 years,Maori,0.00107
Lx,2.50%,2017-19,Male,32 years,nonMaori,98289
lx,50%,2017-19,Male,92 years,Total,15952
lx,50%,2017-19,Female,20 years,European or Other,99492
dx,97.50%,2017-19,Female,64 years,Maori,1456
qx,50%,2017-19,Male,12 years,Total,1.70E-04
qx,97.50%,2017-19,Female,59 years,Total,0.00443
qx,2.50%,2017-19,Female,54 years,Total,0.0026
ex,2.50%,2017-19,Male,65 years,Total,19.26
Lx,2.50%,2017-19,Female,55 years,European or Other,96602
dx,50%,2017-19,Male,29 years,European or Other,71
Lx,97.50%,2017-19,Male,32 years,Maori,97012
mx,50%,2017-19,Male,5 years,European or Other,1.00E-04
lx,50%,2017-19,Male,26 years,Maori,97864
ex,2.50%,2017-19,Female,90 years,Asian,5.24
mx,2.50%,2017-19,Male,78 years,European or Other,0.03687
Lx,2.50%,2017-19,Female,90 years,European or Other,33823
Lx,2.50%,2017-19,Female,24 years,Maori,98558
Lx,97.50%,2017-19,Female,103 years,Total,759
dx,2.50%,2017-19,Male,83 years,Total,3589
lx,97.50%,2017-19,Male,84 years,European or Other,51078
ex,2.50%,2017-19,Male,59 years,nonMaori,24.64
qx,50%,2017-19,Male,92 years,Pacific,0.2082
qx,2.50%,2017-19,Female,69 years,Pacific,0.01492
ex,50%,2017-19,Male,74 years,nonMaori,12.59
dx,97.50%,2017-19,Female,18 years,nonMaori,29
ex,97.50%,2017-19,Male,45 years,Pacific,33.24
lx,97.50%,2017-19,Female,44 years,nonMaori,98420
qx,50%,2017-19,Female,86 years,Pacific,0.10566
Lx,97.50%,2017-19,Female,41 years,Maori,97086
px,97.50%,2017-19,Female,74 years,Pacific,0.97513
Lx,97.50%,2017-19,Male,20 years,European or Other,99318
mx,2.50%,2017-19,Female,19 years,Total,3.10E-04
mx,2.50%,2017-19,Male,66 years,Total,0.01096
lx,97.50%,2017-19,Male,21 years,nonMaori,99160
px,2.50%,2017-19,Male,68 years,nonMaori,0.98751
lx,2.50%,2017-19,Female,87 years,nonMaori,50318
qx,50%,2017-19,Female,89 years,Total,0.11881
Lx,50%,2017-19,Male,89 years,Asian,42417
Lx,2.50%,2017-19,Male,4 years,European or Other,99543
lx,97.50%,2017-19,Male,11 years,Maori,99268
lx,97.50%,2017-19,Male,17 years,nonMaori,99352
lx,2.50%,2017-19,Female,64 years,Pacific,86685
qx,2.50%,2017-19,Male,46 years,nonMaori,0.00149
ex,97.50%,2017-19,Male,84 years,Asian,8.66
Lx,97.50%,2017-19,Female,64 years,Asian,96684
Lx,50%,2017-19,Male,23 years,Total,98763
ex,2.50%,2017-19,Female,31 years,Total,53.24
dx,50%,2017-19,Male,2 years,nonMaori,23
lx,50%,2017-19,Male,84 years,Total,48162
Lx,50%,2017-19,Male,38 years,European or Other,97889
qx,97.50%,2017-19,Male,30 years,Total,9.00E-04
dx,97.50%,2017-19,Male,30 years,nonMaori,69
qx,2.50%,2017-19,Male,19 years,nonMaori,4.70E-04
px,50%,2017-19,Female,3 years,nonMaori,0.99986
px,97.50%,2017-19,Female,101 years,Total,0.67579
dx,50%,2017-19,Female,79 years,nonMaori,2326
dx,50%,2017-19,Female,50 years,Asian,90
qx,97.50%,2017-19,Male,0 years,Total,0.0053
lx,97.50%,2017-19,Male,57 years,Pacific,90116
lx,2.50%,2017-19,Male,79 years,Asian,76751
px,2.50%,2017-19,Male,11 years,Maori,0.99966
px,97.50%,2017-19,Female,83 years,European or Other,0.9515
lx,97.50%,2017-19,Male,41 years,Asian,98757
lx,2.50%,2017-19,Male,11 years,nonMaori,99353
lx,97.50%,2017-19,Female,95 years,Pacific,9314
dx,50%,2017-19,Male,17 years,Pacific,46
lx,97.50%,2017-19,Female,56 years,Pacific,93632
dx,97.50%,2017-19,Male,81 years,Pacific,4011
ex,2.50%,2017-19,Male,76 years,nonMaori,11.14
px,2.50%,2017-19,Male,81 years,Total,0.93995
Lx,97.50%,2017-19,Male,16 years,Maori,99054
qx,97.50%,2017-19,Female,98 years,Asian,0.29255
ex,50%,2017-19,Female,97 years,nonMaori,2.78
lx,50%,2017-19,Male,60 years,European or Other,92797
dx,50%,2017-19,Female,98 years,Asian,3028
Lx,97.50%,2017-19,Male,92 years,Pacific,9238
Lx,97.50%,2017-19,Male,44 years,Total,96760
px,2.50%,2017-19,Male,53 years,nonMaori,0.99654
mx,2.50%,2017-19,Male,73 years,nonMaori,0.02074
px,50%,2017-19,Female,92 years,Asian,0.87057
px,50%,2017-19,Female,15 years,Asian,0.99988
Lx,97.50%,2017-19,Female,39 years,Maori,97370
lx,2.50%,2017-19,Male,38 years,European or Other,97832
px,97.50%,2017-19,Female,4 years,Pacific,0.9999
Lx,97.50%,2017-19,Female,30 years,nonMaori,99111
